Timestamp,ID,X,Y,Depth,Emotion,Gaze,Note
2025-07-02T12:52:15.947972,1,225,199,686,Unknown,Center,
2025-07-02T12:52:16.612352,1,229,200,702,Unknown,Center,
2025-07-02T12:52:19.004823,1,233,185,715,,Center,
2025-07-02T12:52:19.644370,1,229,195,709,,Center,
2025-07-02T12:52:20.246153,1,228,197,706,Unknown,Center,
2025-07-02T12:52:20.863619,1,290,202,0,,Center,
2025-07-02T12:52:21.481040,1,314,190,741,,Center,
2025-07-02T12:52:22.183146,1,321,184,511,,Center,
2025-07-02T12:52:22.784359,1,320,188,691,,Center,
2025-07-02T12:52:23.503463,1,321,187,747,,Center,
2025-07-02T12:52:24.223719,1,321,186,757,,Center,
2025-07-02T12:52:24.925780,1,320,190,756,,Center,
2025-07-02T12:52:27.232278,1,320,186,764,,Center,
2025-07-02T12:52:29.045848,1,319,183,759,,Center,
2025-07-02T12:52:29.644807,1,319,185,764,,Center,
2025-07-02T12:52:32.416558,1,318,184,761,,Center,
2025-07-02T12:52:33.154444,1,319,184,761,,Center,
2025-07-02T12:52:36.449761,1,318,182,761,,Center,
2025-07-02T12:52:37.045220,1,319,182,767,,Center,
2025-07-02T12:52:40.440565,1,319,183,764,,Center,
2025-07-02T12:52:41.396747,1,318,183,767,,Center,
2025-07-02T12:52:43.402942,1,317,181,766,,Center,
2025-07-02T12:52:44.205329,1,316,179,771,,Center,
2025-07-02T12:52:45.007809,1,316,179,798,,Center,
2025-07-02T12:52:47.864202,1,345,183,916,neutral,Center,
2025-07-02T12:52:49.067722,1,362,180,1022,happy,Center,
2025-07-02T12:52:50.425209,1,368,180,993,sad,Center,
2025-07-02T12:52:51.205428,1,384,179,973,,Center,
2025-07-02T12:52:52.448276,1,337,174,978,neutral,Center,
2025-07-02T12:52:53.476238,1,380,171,987,,Center,
2025-07-02T12:52:54.410280,1,403,170,959,,Center,
2025-07-02T12:52:54.410280,3,37,204,0,,Center,
2025-07-02T12:52:56.192390,1,409,167,976,,Center,
2025-07-02T12:52:56.192390,3,37,204,0,,Center,
2025-07-02T12:52:57.604037,1,412,168,970,neutral,Center,
2025-07-02T12:52:57.604037,3,36,203,0,,Center,
2025-07-02T12:52:58.105567,1,390,173,0,,Center,
2025-07-02T12:52:58.105567,3,36,203,0,,Unknown,
2025-07-02T12:52:59.008258,1,385,178,807,,Center,
2025-07-02T12:52:59.023887,3,36,203,0,,Center,
